mod_id,mod_installed_name,mod_version,file_installed_name
3808,"Footprints","1.5.3.0","Footprints 1.5.3-3808-1-5-3.7z"
3038,"Fores New Idles in Skyrim SE - FNIS SE","7.3.1.0","FNIS Behavior SE 7_3_1-3038-7-3-1.7z"
7849,"Forgotten Retex Project","4.3.0.0","Forgotten Retex Project.7z-7849-4-3.7z"
12029,"High Poly Project","4.1.0.0","High Poly Project-12029-v4-1.zip"
3479,"Immersive Armors","8.1.0.0","Immersive Armors 8.1 SSE Test-3479-8-1.7z"
173,"Immersive Citizens - AI Overhaul","0.4.0.0","C:/Games/Skyrim - Special Edition/Mod Organizer 2/mods/Immersive Citizens - AI Overhaul-173-0-4.7z"
718,"Immersive Patrols SE","1.3.2.0","Immersive Patrols SE-718-1-3-2.7z"
523,"Immersive Sounds - Compendium","2.1.0.0","Immersive Sounds Compendium SSE 2.1-523-2-1.zip"
6817,"KS Hairdos SSE","1.5.0.0","KS Hairdos SSE-6817-1-5.7z"
6817,"KS Hairdos SSE update","1.5.0.0","KS Hairdos SSE - .esp only-6817-1-5.7z"
2429,"Lanterns of Skyrim SE","f1.01","1_Lanterns of Skyrim SE-2429-1-01.rar"
3240,"Left Hand Rings Modified SE","4.4.0.0","Left Hand Rings Modified SE-3240-4-4.7z"
2309,"Legendary Armors - Bikini SSE Beta","4.0.0.0","Legendary Armors - Bikini Complete SSE V4.0-2309-4-0.7z"
15885,"Lisya - Sneak Based Standalone Follower - SSE","1.0.0.0","Lisya SSE - 7Base Bombshell Physics-15885-1-0.7z"
4278,"Merta Assassin - DX Mini Armor Collection SSE","1.0.0.0","Merta Assassin SE - UNP-4278-1-0.7z"
11744,"Naughty Girls of Tamiel - Masha","1.0.0.0","Masha SSE - UNPB-11744-1-0.7z"
11744,"Naughty Girls of Tamiel - Morena","1.0.0.0","Morena SSE UNPB HDT-11744-1-0.7z"
0,"Noble Skyrim - FULL PACK v.5.3.0 Performance","d2018.4.9.0","C:/Games/Skyrim Special Edition/Mod Organizer 2/mods/B. NSM - FULL PACK v.5.3.0_Performance - For Skyrim Special Edition-45807-5-3-0.7z"
670,"Nordic Snow (aka HQ Snow Texture)","3.4.1.0","3.4.1-670-3-4-1.zip"
0,"NSM - SMIM Patch","d2018.4.9.0","C:/Games/Skyrim Special Edition/Mod Organizer 2/mods/NSM - SMIM Patch-45807-4-5-0.7z"
281,"Open Cities Skyrim","3.0.4.0","Open Cities Skyrim-281-3-0-4.7z"
1137,"Ordinator - Perks of Skyrim","9.26.0.0SSE","50 percent More Perk Points-1137-.zip"
6551,"Phenderix Magic World","2.1.0.0","Phenderix Magic World - Version 2.1.0-6551-2-1-0.zip"
352,"Point The Way","2.0.2.0","Point The Way-352-2-0-2.7z"
7945,"R246 Female Presets","1.51.0.0","R246 Female Presets-7945-1-51.7z"
1187,"RDO USSEP Patch","1.0.0.0","RDO Patches Final-1187-Final.zip"
3383,"Real Bound Bow","1.11.0.0","Real Bound Bow-3383-1-11.7z"
3144,"Real Bows","f1.05","Real Bows-3144-1-05.zip"
844,"Realistic Lighting Overhaul (RLO) SSE All-In-One Installer","5.0.4.0","Realistic Lighting Overhaul v5.0.4 - All-In-One Installer-844-5-0-4.zip"
1439,"Realistic Ragdolls and Force","1.92.0.0","Realistic Ragdolls and Force SE-1439-1-92.zip"
2182,"Realistic Water Two","1.4.4.0","Realistic Water Two v1.4.4-2182-1-4-4.7z"
1187,"Relationship Dialogue Overhaul - RDO SE","1.0.0.0","Relationship Dialogue Overhaul - RDO Final-1187-Final.7z"
1772,"Rich Skyrim Merchants","2.0.0.0","Rich Skyrim Merchants-1772-2-0.rar"
2650,"RS Children Overhaul","1.1.2.0","RSSE Children Overhaul 1.1.2-2650-1-1-2.7z"
13409,"RS Children Patch Compendium","4.4.0.0","RS Children Compendium Fomod Installer-13409-4-4.7z"
5870,"Ruins Clutter Improved","3.0.0.0","Ruins_Clutter_Improved_SE_NMM_v3-0-5870-3-0-1.rar"
2272,"Run For Your Lives","4.0.0.0","Run For Your Lives-2272-4-0.7z"
4703,"RUSTIC CLOTHING - Special Edition","2.0.0.0","RUSTIC CLOTHING - Special Edition - 2K-1K-4703-2-0.7z"
7777,"Settlements Expanded","1.2.0.0","Settlements Expanded SE-7777-1-2.7z"
7777,"Settlements Expanded SE - Lanterns of Skyrim Patch","1.0.0.0","Settlements Expanded SE - Lanterns of Skyrim Patch-7777-1.7z"
3197,"sexy idle Animation - Skyrim Special Edition","1.0.0.0","Sexy idle Animation - Skyrim Special Edition-3197-1-0.rar"
0,"ShowRaceMenu PreCacheKiller","d2018.4.9.0","C:/Games/Skyrim Special Edition/Mod Organizer 2/mods/ShowRaceMenu PreCacheKiller 1_3-33526-1-3.7z"
31581,"SimpleMultipleFollowers","d2018.4.9.0","C:/Games/Skyrim - Special Edition/Mod Organizer 2/mods/SimpleMultipleFollowers 0p875-31581-0-875.zip"
16404,"SINful CBP Config","2.0.0.0","SINful CBP Config-16404-2-0.7z"
2347,"Skyrim 2017 Textures","2.0.0.0","4K Diffuse 2K Normalmap - Markarth-2347-.7z"
2154,"Skyrim Flora Overhaul SE - (Heavy on FPS)","2.72.0.0a","Skyrim Flora Overhaul SE v2.72a-2154-.rar"
1104,"SkyTEST - Realistic Animals and Predators","1.61.0.0","SkyTEST - Realistic Animals and Predators 1_61 NOSM (No SurvivalMode) Reupload-1104-1-61.rar"
12604,"SkyUI","5.2.0.0SE","SkyUI_5_2_SE-12604-5-2SE.7z"
2180,"Sofia - The Funny Fully Voiced Follower","2.51.0.0","Sofia Follower v.2.51 (BSA)-2180-2-51.rar"
8,"Solitude Expansion Main","f2.063","Solitude Expansion 2.063-8-2-063.rar"
8,"Solitude Expansion Main Open Cities Patch","f2.063OCP","Open Cities Patch (updated)-8-2-063OCP.zip"
8,"Solitude Expansion Main Update","f2.065","Solitude Expansion 2.065-8-2-065.zip"
9670,"Splendor - Dragon Variants SE","1.0.1.0","Splendor - Dragon Variants-9670-1-0-1.zip"
659,"Static Mesh Improvement Mod","f2.07","SMIM SE 2-07-659-2-07.7z"
4292,"Tembtra Thief - CBBE Hi Res Mod","1.0.0.0","Tembtra Thief SE - Ultra Resolution Texture Pack-4292-1-0.7z"
4292,"Tembtra Thief - DX Mini Armor Collection SSE","1.0.0.0","Tembtra Thief SE - UNP-4292-1-0.7z"
16374,"The Erotic Adventures of Misty Skye","5.1.0.0","The Erotic Adventures of Misty Skye 5.1-16374-5-1.7z"
1179,"The Forgotten City","1.8.0.0","The Forgotten City-1179-1-8.zip"
2472,"True Storms Special Edition - Thunder Rain and Weather Redone","f1.01","True Storms Special Edition v1.01-2472-1-01.rar"
-1,"Unmanaged: ApachiiHair","",""
0,"Unofficial Skyrim Special Edition Patch","d2018.4.9.0","C:/Games/Skyrim Special Edition/Mod Organizer 2/mods/Unofficial Skyrim Special Edition Patch-266-4-1-2a.7z"
2296,"Verdant - A Skyrim Grass Plugin","1.5.0.0","1k Textures-2296-1-5.rar"
2296,"Verdant - Open Cities Patch","1.5.0.0","Verdant 1.5 SSE Edition - Open Cities Compatible Esp-2296-1-5.rar"
2296,"Verdant - RW2 Patch","1.5.0.0","RealisticWaterTwo - Verdant Patch by Olejkaaa-2296-.rar"
668,"VioLens - A Killmove Mod SE","2.2.0.0","VioLens - A Killmove Mod SE 2.2-668-2-2.7z"
7037,"Visual Animated Enchants - VAE",".2","Visual Animated Enchants-7037-V-2.rar"
2187,"Vivid Weathers - Definitive Edition","2.30.0.0","Vivid Weathers - Definitive Edition-2187-2-30.7z"
15135,"Vivid Weathers - TrueStorms Merged Compatibility SSE","f1.02","VividWeathers_TrueStorms_Patch - Ominous Version-15135-1-02.7z"
644,"Wet and Cold","2.15.0.0","Wet and Cold v2_15-644-2-15.7z"
1988,"XP32 Maximum Skeleton Special Extended","4.20.0.0","XP32 Maximum Skeleton Special Extended-1988-4-20.7z"
